eventID,site,habitatType,minimumElevationInMeters,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitude,decimalLongitude,geodeticDatum,occurrenceID,basisOfRecord,individualCount,vernacularName,scientificName,kingdom,phylum,class,order,family,taxonRank
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Ixodida,HumanObservation,9,Tick,,Animalia,Arthropoda,Arachnida,Ixodida,,order
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Tetragnathidae,HumanObservation,1,Long-jawed orb weaver,,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,family
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Culicidae,HumanObservation,1,Mosquito,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,family
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Philaenus_spumarius,HumanObservation,1,Froghopper,Philaenus spumarius,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,species
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Pholcidae,HumanObservation,1,Daddy long-legs spider,,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,family
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Argiope_bruennichi,HumanObservation,2,Wasp spider,Argiope bruennichi,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,species
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Araneae,HumanObservation,1,Spider,,Animalia,Arthropoda,Arachnida,Araneae,,order
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Pachytomella_parallela,HumanObservation,5,Capsid bug,Pachytomella parallela,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,species
SHSTransect_1_TopRight,South,,120,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:16,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopRight,55.697222,-5.287222,WGS84,SHSTransect_1_TopRight_Metellina_segmentata,HumanObservation,1,Spider,Metellina segmentata,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,species
SHSTransect_2_TopMiddle,South,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Philaenus_spumarius,HumanObservation,4,Froghopper,Philaenus spumarius,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,species
SHSTransect_2_TopMiddle,South,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Notonecta_obliqua,HumanObservation,1,Water-boatman,Notonecta obliqua,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,species
SHSTransect_2_TopMiddle,South,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Limonia_nubeculosa,HumanObservation,1,Short-palped cranefly,Limonia nubeculosa,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,species
SHSTransect_2_TopMiddle,South,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Pachytomella_parallela,HumanObservation,4,Capsid bug,Pachytomella parallela,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,species
SHSTransect_2_TopMiddle,South,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Metellina_segmentata,HumanObservation,7,Spider,Metellina segmentata,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,species
SHSTransect_2_TopMiddle,South,,140,Sweep netting,1 individual sweeps 5 passes through vegetation per step along a 30m transect. ,30,metre,12/09/2024,10:57,256,"Opportunistic sampling, 3 transects at high middle and low altitude aiming to capture variable habitats",Scotland,GB-SCT,Lochranza,TopMiddle,55.695833,-5.286944,WGS84,SHSTransect_2_TopMiddle_Ixodida,HumanObservation,12,Tick,,Animalia,Arthropoda,Arachnida,Ixodida,,order
